Book,Author(s),"Original language","First published","Approximate sales in millions",Genre
"A Brief History of Time","Stephen Hawking",English,1988,25,"POPULAR SCIENCE"
"A Message to Garcia","Elbert Hubbard",English,1899,40,ESSAY/LITERATURE
"A Tale of Two Cities","Charles Dickens",English,1859,200,"HISTORICAL FICTION"
"Adventures of Huckleberry Finn","Mark Twain",English,1885,20,"PICARESQUE NOVEL, BILDUNGSROMAN, SATIRE, ROBINSONADE"
"Alcoholics Anonymous Big Book","Bill Wilson",English,1939,30,SELF-HELP
"All Quiet on the Western Front (Im Westen nichts Neues)","Erich Maria Remarque",German,1929,20,"WAR NOVEL"
"All the Light We Cannot See","Anthony Doerr",English,2014,15.3,"HISTORICAL FICTION, WAR NOVEL"
"And Then There Were None","Agatha Christie",English,1939,100,MYSTERY
"Andromeda Nebula (Туманность Андромеды)","Ivan Yefremov",Russian,1957,20,"SCIENCE FICTION NOVEL"
"Angels & Demons","Dan Brown",English,2000,39,"MYSTERY THRILLER"
"Animal Farm ","George Orwell",English,1945,20,"SATIRICAL ALLEGORICAL NOVELLA, POLITICAL SATIRE, DYSTOPIAN FICTION, ROMAN à CLEF"
"Anne of Green Gables","Lucy Maud Montgomery",English,1908,50,"CHILDREN'S NOVEL"
"Autobiography of a Yogi (योगी कथामृत)","Paramahansa Yogananda",Hindi,1946,20,AUTOBIOGRAPHY
"Ben-Hur: A Tale of the Christ","Lew Wallace",English,1880,50,"HISTORICAL FICTION"
"Black Beauty","Anna Sewell",English,1877,50,"CHILDREN'S LITERATURE"
"Catching Fire","Suzanne Collins",English,2009,21,"YOUNG ADULT NOVEL, ADVENTURE, DYSTOPIAN, SCIENCE FICTION"
"Charlie and the Chocolate Factory","Roald Dahl",English,1964,20,"CHILDREN'S FANTASY NOVEL"
"Charlotte's Web","E. B. White; illustrated by Garth Williams",English,1952,50,"CHILDREN'S FICTION"
Cosmos,"Carl Sagan",English,1980,40,"POPULAR SCIENCE, ANTHROPOLOGY, ASTROPHYSICS, COSMOLOGY, PHILOSOPHY, HISTORY"
"Dream of the Red Chamber (紅樓夢)","Cao Xueqin",Chinese,1791,100,"FAMILY SAGA"
Dune,"Frank Herbert",English,1965,20,"SCIENCE FICTION NOVEL"
"Fear of Flying","Erica Jong",English,1973,20,"ROMANTIC NOVEL"
"Fifty Shades Darker","E. L. James",English,2012,10.4,EROTICA
"Fifty Shades of Grey","E. L. James",English,2011,15.2,EROTICA
"Flowers in the Attic","V. C. Andrews",English,1979,40,"GOTHIC HORROR, FAMILY SAGA"
"Gone Girl","Gillian Flynn",English,2012,20,"CRIME THRILLER NOVEL"
"Gone with the Wind","Margaret Mitchell",English,1936,30,"HISTORICAL FICTION"
"Goodnight Moon","Margaret Wise Brown",English,1947,16,"CHILDREN'S LITERATURE"
"Harry Potter and the Chamber of Secrets","J. K. Rowling",English,1998,77,FANTASY
"Harry Potter and the Deathly Hallows","J. K. Rowling",English,2007,65,FANTASY
"Harry Potter and the Goblet of Fire","J. K. Rowling",English,2000,65,FANTASY
"Harry Potter and the Half-Blood Prince","J. K. Rowling",English,2005,65,FANTASY
"Harry Potter and the Order of the Phoenix","J. K. Rowling",English,2003,65,FANTASY
"Harry Potter and the Philosopher's Stone","J. K. Rowling",English,1997,120,FANTASY
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling",English,1999,65,FANTASY
Heidi,"Johanna Spyri",German,1880,50,"CHILDREN'S FICTION"
"How the Steel Was Tempered (Как закалялась сталь)","Nikolai Ostrovsky",Russian,1932,36.4,"SOCIALIST REALIST NOVEL"
"How to Win Friends and Influence People","Dale Carnegie",English,1936,30,SELF-HELP
"James and the Giant Peach","Roald Dahl",English,1961,28,"CHILDREN'S NOVEL"
Jaws,"Peter Benchley",English,1974,20,THRILLER
"Jonathan Livingston Seagull","Richard Bach",English,1970,44,"NOVELLA, SELF-HELP"
"Kane and Abel","Jeffrey Archer",English,1979,37,NOVEL
"Kitchen (キッチン)","Banana Yoshimoto",Japanese,1988,20,"JAPANESE NOVEL"
"Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen)","Thor Heyerdahl",Norwegian,1950,20,"TRAVEL LITERATURE"
